kic,source_id,sdss_g,parallax,parallax_error,Ag_Green_2017,Ag_Green_2017_sigma,Teffi,e_Teffi,FeHi,e_FeHi,new_logg,new_logg_std,new_radius,new_r_std,new_mass,new_mass_std,mass_qflag,loglbol_g_median,loglbol_sigp,loglbol_sigm,dSct
6311076,2075389258995955456,13.36,1.198,0.019,0.7,0.08,7079,238,-0.36,0.3,4.23,0.11,1.47,0.12,1.34,0.25,1,0.692,0.036,0.036,0
6311564,2075347374472904960,12.273,0.99,0.021,0.65,0.07,7692,269,-0.06,0.3,3.94,0.09,2.33,0.19,1.74,0.25,0,1.234,0.032,0.033,1
6311649,2075394820966980224,12.075,1.002,0.022,0.62,0.08,7773,272,-0.03,0.3,3.92,0.1,2.43,0.2,1.78,0.25,0,1.288,0.037,0.037,0
6312787,2075344419535626112,13.234,1.305,0.017,0.46,0.08,6736,235,-0.48,0.3,4.2,0.12,1.48,0.13,1.26,0.25,1,0.609,0.037,0.037,0
6313843,2075356789041983616,13.628,0.794,0.015,0.62,0.03,6872,225,-0.5,0.3,3.96,0.1,2.11,0.15,1.48,0.25,0,0.951,0.026,0.026,0
6313849,2075356887809913728,15.443,0.357,0.031,0.78,0.03,6588,226,-0.22,0.3,3.81,0.13,2.46,0.29,1.48,0.25,0,1.012,0.083,0.077,0
6314114,2075353902824004096,14.459,0.499,0.021,0.62,0.02,6675,233,-0.41,0.3,3.84,0.11,2.47,0.22,1.54,0.25,0,1.039,0.042,0.041,0
6314475,2075353421787730432,14.084,0.491,0.019,0.6,0.03,6826,215,-0.19,0.3,3.77,0.1,2.78,0.23,1.66,0.25,0,1.179,0.04,0.039,1
6341932,2104446362006749184,11.867,1.424,0.023,0.2,0.02,6906,189,0.06,0.3,3.99,0.09,2.04,0.12,1.47,0.25,0,0.932,0.018,0.018,0
6342398,2104538205587254912,12.79,1.102,0.026,0.25,0.03,6784,237,0.21,0.3,4.04,0.11,1.85,0.14,1.38,0.25,0,0.815,0.019,0.02,0
6342827,2104531711593026304,11.919,1.545,0.028,0.2,0.02,6561,229,0.2,0.3,3.94,0.1,2.11,0.16,1.41,0.25,0,0.869,0.019,0.019,0
6343632,2104501990422867584,12.745,1.667,0.029,0.2,0.03,6550,184,-0.21,0.3,4.24,0.11,1.36,0.09,1.17,0.25,1,0.488,0.021,0.021,0
6343817,2104501234508644480,12.76,1.094,0.036,0.24,0.02,6544,181,-0.13,0.3,3.94,0.1,2.07,0.12,1.4,0.25,0,0.85,0.018,0.018,0
