,kic,Type,dSct,gdor
1268,7367559,GDORA,,
1269,7368590,DSCT,1.0,
1270,7368960,DSCT,1.0,
1271,7375612,DSCT,,
1272,7377489,GDORM,,
1273,7378020,DSCT,1.0,
1274,7378067,DSCT,1.0,
1275,7379646,GDORM,2.0,
1276,7380501,GDORS,,1.0
1277,7383764,GDORM,,
1278,7384711,DSCT,1.0,
1279,7385500,DSCT,1.0,
1280,7385783,GDORS,,1.0
1281,7386431,GDORM,,1.0
1282,7429212,GDORS?,,
1283,7430757,DSCT/ROT,1.0,
1284,7436266,GDORS,,1.0
1285,7436266,GDORS,,1.0
1286,7448050,GDORA,,1.0
1287,7449844,GDORA/EB,,
1288,7450284,DSCT,1.0,
1289,7454979,DSCT,1.0,
1290,7454990,DSCT,1.0,
1291,7455624,DSCT,1.0,
1292,7455752,GDORM,,1.0
1293,7455752,GDORM,,1.0
1294,7455914,GDORS,,
1295,7456441,DSCT,1.0,1.0
1296,7457355,DSCT/ROT,1.0,
1297,7458697,DSCT,1.0,
1298,7461354,GDORS/ROT,,
1299,7461607,DSCT,1.0,1.0
1300,7463044,DSCT,1.0,
1301,7465364,DSCT,1.0,
1302,7467518,DSCT,1.0,1.0
1303,7467539,DSCT,1.0,
1304,7468196,GDORA,,
1305,7499407,GDORS,2.0,1.0
1306,7499407,GDORS,2.0,1.0
1307,7502559,DSCT,1.0,
1308,7515679,GDORS/EB,,
1309,7522572,DSCT/ROT,1.0,
1310,7532891,DSCT,1.0,
1311,7533425,DSCT,1.0,
1312,7533694,DSCT/ROT,1.0,
1313,7538181,GDORA,,1.0
1314,7538181,GDORA,,1.0
1315,7538950,DSCT,1.0,
1316,7547306,DSCT,1.0,
1317,7547573,DSCT,1.0,
1318,7548259,DSCT,1.0,
1319,7548479,DSCT,1.0,
1320,7549852,DSCT,1.0,1.0
1321,7551637,DSCT/ROT,1.0,
1322,7551993,DSCT,1.0,
1323,7553237,DSCT,1.0,
1324,7581697,GDORA,,
1325,7583208,DSCT,1.0,
1326,7583437,GDORM,1.0,
1327,7583663,GDORA,,1.0
1328,7583663,GDORA,,1.0
1329,7583939,DSCT,1.0,
1330,7585445,DSCT,1.0,
1331,7596250,GDORS/GDORA,,1.0
1332,7596250,GDORS/GDORA,,1.0
1333,7596741,GDORS,,
1334,7597150,GDORS,,1.0
1335,7597150,GDORS,,1.0
1336,7597269,GDORA,,1.0
1337,7598492,DSCT,1.0,
1338,7602453,GDORA,,
1339,7604266,DSCT,1.0,
1340,7605152,DSCT,1.0,
1341,7605527,DSCT,1.0,
1342,7616710,GDORS/ROT,,
1343,7617709,GDORS,,1.0
1344,7618364,DSCT/EB,1.0,
1345,7620654,GDORS,2.0,1.0
1346,7621759,DSCT,1.0,
1347,7624753,DSCT,1.0,
1348,7626595,DSCT,1.0,
1349,7627570,DSCT/ROT,1.0,
1350,7661054,GDORS,,1.0
1351,7661054,GDORS,,1.0
1352,7661500,GDORS/ROT,,
1353,7662402,GDORM,1.0,
1354,7668791,DSCT,1.0,
1355,7672492,GDORA,,1.0
1356,7676610,DSCT/ROT,,
1357,7678099,GDORM,,
1358,7678385,DSCT,1.0,
1359,7685307,DSCT,1.0,
1360,7687374,DSCT/ROT,1.0,
1361,7691445,DSCT,1.0,
1362,7691618,GDORS,,
1363,7694191,GDORS,2.0,1.0
1364,7694191,GDORS,2.0,1.0
1365,7697795,DSCT,1.0,
1366,7697861,GDORS,,1.0
1367,7697861,GDORS,,1.0
1368,7698937,GDORM,,1.0
1369,7698937,GDORM,,1.0
1370,7699056,DSCT,1.0,
1371,7699276,DSCT/ROT,1.0,
1372,7699478,GDORS,,1.0
1373,7699478,GDORS,,1.0
1374,7700880,GDORM,,
1375,7700963,DSCT,1.0,
1376,7701947,GDORM,,1.0
1377,7701947,GDORM,,1.0
1378,7702705,DSCT,1.0,
1379,7708315,DSCT,1.0,
1380,7731467,GDORS/GDORA,1.0,
1381,7732458,DSCT,1.0,
1382,7742739,GDORM,,
1383,7744087,GDORM,,
1384,7748238,DSCT,1.0,1.0
1385,7749552,DSCT,1.0,
1386,7755932,DSCT/ROT,1.0,
1387,7756853,DSCT/ROT,1.0,
1388,7758029,GDORM,,
1389,7761855,DSCT,1.0,1.0
1390,7765585,DSCT,1.0,
1391,7765684,DSCT,1.0,
1392,7767690,DSCT,,
1393,7767699,DSCT,1.0,
1394,7770256,DSCT,1.0,
1395,7770282,GDORA,1.0,1.0
1396,7771991,DSCT,1.0,
1397,7773133,DSCT,1.0,
1398,7777435,DSCT,1.0,
1399,7778114,GDORS,,1.0
1400,7778114,GDORS,,1.0
1401,7778826,GDORS,2.0,1.0
1402,7778826,GDORS,2.0,1.0
1403,7778980,DSCT,1.0,
1404,7779942,DSCT/ROT,1.0,
1405,7798339,GDORS,,
1406,7798924,GDORS,2.0,
1407,7815609,GDORS,,
1408,7818940,GDORS,,
1409,7819024,DSCT,1.0,
1410,7827131,DSCT,,
1411,7830684,DSCT,1.0,
