,kic
1345,9813078
1346,9818269
1347,9823602
1348,9823652
1349,9828226
1350,9832497
1351,9832655
1352,9832727
1353,9836020
1354,9836073
1355,9837267
1356,9837659
1357,9838496
1358,9839184
1359,9844791
1360,9845573
1361,9845907
1362,9849107
1363,9850393
1364,9874181
1365,9875566
1366,9892624
1367,9893388
1368,9895269
1369,9895857
1370,9897089
1371,9898401
1372,9903360
1373,9910533
1374,9913819
1375,9943441
1376,9953617
1377,9963609
1378,9963667
1379,9966976
1380,9970568
1381,9971786
1382,9973036
1383,9974087
1384,10000056
1385,10001145
1386,10002897
1387,10004660
1388,10014548
1389,10014604
1390,10014649
1391,10029999
1392,10030943
1393,10031634
1394,10034227
1395,10035155
1396,10035772
1397,10056297
1398,10056931
1399,10065244
1400,10071056
1401,10079420
1402,10080943
1403,10095496
1404,10130777
1405,10134800
1406,10154094
1407,10154966
1408,10159927
1409,10164569
1410,10196863
1411,10199055
1412,10208345
1413,10213964
1414,10213987
1415,10219475
1416,10220150
1417,10220707
1418,10224920
1419,10226083
1420,10253943
1421,10258260
1422,10263800
1423,10264728
1424,10273384
1425,10276126
1426,10279745
1427,10281360
1428,10281639
1429,10285770
1430,10289211
1431,10293818
1432,10297233
1433,10322290
1434,10324066
1435,10355055
1436,10361229
1437,10407873
1438,10415087
1439,10416779
1440,10417022
1441,10417135
1442,10417986
1443,10424228
1444,10427093
1445,10448764
1446,10451090
1447,10451317
1448,10462980
1449,10469984
1450,10471914
1451,10482774
1452,10484808
1453,10485961
1454,10489265
1455,10489373
1456,10489783
1457,10528873
1458,10532771
1459,10533616
1460,10537528
1461,10537907
1462,10549292
1463,10549371
1464,10549643
1465,10555142
1466,10580834
1467,10582000
1468,10586045
1469,10590857
1470,10600540
1471,10604429
1472,10609641
1473,10615125
1474,10616124
1475,10616138
1476,10616594
1477,10647611
1478,10658802
1479,10664703
1480,10664975
1481,10668233
1482,10675762
1483,10678547
1484,10679429
1485,10684587
1486,10684673
1487,10685653
1488,10686752
1489,10713398
1490,10717871
1491,10723618
1492,10727717
1493,10729645
1494,10732638
1495,10734935
1496,10741920
